town,state,sentiment_score,number_of_posts,satisfaction_score,star_fill,x,y,score_valid
Watkinsville, GA,0.359678299,1023,3.2,100,2,1,1
Watkinsville, GA,0.359678299,1023,3.2,100,3,1,1
Watkinsville, GA,0.359678299,1023,3.2,20.000000000000018,4,1,1
Watkinsville, GA,0.359678299,1023,3.2,0,5,1,1
Quakertown, PA,0.334398445,5401,3.2,100,1,1,1
Quakertown, PA,0.334398445,5401,3.2,100,2,1,1
Quakertown, PA,0.334398445,5401,3.2,100,3,1,1
Quakertown, PA,0.334398445,5401,3.2,20.000000000000018,4,1,1
Quakertown, PA,0.334398445,5401,3.2,0,5,1,1
Harrisville, PA,0.246598374,492,3.0,100,1,1,1
Harrisville, PA,0.246598374,492,3.0,100,2,1,1
Harrisville, PA,0.246598374,492,3.0,100,3,1,1
Harrisville, PA,0.246598374,492,3.0,0.0,4,1,1
Harrisville, PA,0.246598374,492,3.0,0,5,1,1
Northampton, PA,0.302717536,2646,3.1,100,1,1,1
Northampton, PA,0.302717536,2646,3.1,100,2,1,1
Northampton, PA,0.302717536,2646,3.1,100,3,1,1
Northampton, PA,0.302717536,2646,3.1,10.000000000000009,4,1,1
Northampton, PA,0.302717536,2646,3.1,0,5,1,1
West Orange, TX,n/a,0,0,0,1,1,0
West Orange, TX,n/a,0,0,0,2,1,0
West Orange, TX,n/a,0,0,0,3,1,0
West Orange, TX,n/a,0,0,0,4,1,0
West Orange, TX,n/a,0,0,0,5,1,0
Hurricane, UT,0.182640838,764,2.8,100,1,1,1
Hurricane, UT,0.182640838,764,2.8,100,2,1,1
Hurricane, UT,0.182640838,764,2.8,79.99999999999999,3,1,1
Hurricane, UT,0.182640838,764,2.8,0,4,1,1
Hurricane, UT,0.182640838,764,2.8,0,5,1,1
Garfield, KY,0.10403125,16,2.7,100,1,1,1
Garfield, KY,0.10403125,16,2.7,100,2,1,1
Garfield, KY,0.10403125,16,2.7,70.00000000000001,3,1,1
Garfield, KY,0.10403125,16,2.7,0,4,1,1
Garfield, KY,0.10403125,16,2.7,0,5,1,1
Whitewater, KS,0.180755556,54,2.8,100,1,1,1
Whitewater, KS,0.180755556,54,2.8,100,2,1,1
Whitewater, KS,0.180755556,54,2.8,79.99999999999999,3,1,1
Whitewater, KS,0.180755556,54,2.8,0,4,1,1
Whitewater, KS,0.180755556,54,2.8,0,5,1,1
Santa Paula, CA,0.298956279,2150,3.1,100,1,1,1
Santa Paula, CA,0.298956279,2150,3.1,100,2,1,1
Santa Paula, CA,0.298956279,2150,3.1,100,3,1,1
Santa Paula, CA,0.298956279,2150,3.1,10.000000000000009,4,1,1
Santa Paula, CA,0.298956279,2150,3.1,0,5,1,1
Jersey City, NJ,0.350546471,170,3.2,100,1,1,1
Jersey City, NJ,0.350546471,170,3.2,100,2,1,1
Jersey City, NJ,0.350546471,170,3.2,100,3,1,1
Jersey City, NJ,0.350546471,170,3.2,20.000000000000018,4,1,1
Jersey City, NJ,0.350546471,170,3.2,0,5,1,1
Fountain Inn, SC,0.242121036,3261,3.0,100,1,1,1
Fountain Inn, SC,0.242121036,3261,3.0,100,2,1,1
Fountain Inn, SC,0.242121036,3261,3.0,100,3,1,1
Fountain Inn, SC,0.242121036,3261,3.0,0.0,4,1,1
Fountain Inn, SC,0.242121036,3261,3.0,0,5,1,1
Equality, AL,0.105145833,24,2.7,100,1,1,1
Equality, AL,0.105145833,24,2.7,100,2,1,1
Equality, AL,0.105145833,24,2.7,70.00000000000001,3,1,1
Equality, AL,0.105145833,24,2.7,0,4,1,1
Equality, AL,0.105145833,24,2.7,0,5,1,1
Windom, MN,0.241503509,114,3.0,100,1,1,1
Windom, MN,0.241503509,114,3.0,100,2,1,1
Windom, MN,0.241503509,114,3.0,100,3,1,1
Windom, MN,0.241503509,114,3.0,0.0,4,1,1
Windom, MN,0.241503509,114,3.0,0,5,1,1
Yoncalla, OR,0.17758,50,2.8,100,1,1,1
Yoncalla, OR,0.17758,50,2.8,100,2,1,1
Yoncalla, OR,0.17758,50,2.8,79.99999999999999,3,1,1
Yoncalla, OR,0.17758,50,2.8,0,4,1,1
Yoncalla, OR,0.17758,50,2.8,0,5,1,1
Akron, PA,0.620479688,128,3.8,100,1,1,1
Akron, PA,0.620479688,128,3.8,100,2,1,1
Akron, PA,0.620479688,128,3.8,100,3,1,1
Akron, PA,0.620479688,128,3.8,79.99999999999999,4,1,1
Akron, PA,0.620479688,128,3.8,0,5,1,1
Aurora, IL,0.213555517,290,2.9,100,1,1,1
Aurora, IL,0.213555517,290,2.9,100,2,1,1
Aurora, IL,0.213555517,290,2.9,89.99999999999999,3,1,1
Aurora, IL,0.213555517,290,2.9,0,4,1,1
Aurora, IL,0.213555517,290,2.9,0,5,1,1
Antioch, TN,0.247836996,40088,3.0,100,1,1,1
Antioch, TN,0.247836996,40088,3.0,100,2,1,1
Antioch, TN,0.247836996,40088,3.0,100,3,1,1
Antioch, TN,0.247836996,40088,3.0,0.0,4,1,1
Antioch, TN,0.247836996,40088,3.0,0,5,1,1
Chester, PA,0.241314953,6130,3.0,100,1,1,1
